                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.61035,                 0.5154,                0.87642,                0.89014,                0.87937,                0.93022,                0.81958,                0.53834,                0.44904,                0.83418,               0.004258,               0.004258,               0.004258
                     60,                0.60442,                0.51421,                 0.8746,                0.88179,                0.88511,                0.93256,                0.82755,                0.53623,                0.44957,                0.83005,               0.004159,               0.004159,               0.004159
                     61,                0.60191,                0.51016,                0.87621,                 0.8921,                 0.8887,                0.93341,                0.82568,                0.53087,                0.44364,                0.82807,                0.00406,                0.00406,                0.00406
                     62,                 0.6059,                0.51217,                 0.8754,                  0.871,                0.88396,                 0.9283,                0.82192,                0.53479,                0.45213,                0.83099,               0.003961,               0.003961,               0.003961
                     63,                0.59504,                0.50498,                0.87024,                0.89978,                0.87848,                0.93768,                0.82881,                0.53344,                0.44305,                0.83176,               0.003862,               0.003862,               0.003862
                     64,                0.59382,                 0.5024,                0.87134,                0.89892,                0.87225,                0.93031,                0.82433,                0.53246,                0.44615,                0.83091,               0.003763,               0.003763,               0.003763
                     65,                0.59288,                0.50061,                0.86969,                 0.8811,                0.89371,                 0.9348,                 0.8251,                0.53304,                0.43993,                0.82929,               0.003664,               0.003664,               0.003664
                     66,                0.59106,                0.49847,                0.87086,                0.87452,                 0.8883,                0.93141,                0.82645,                0.52584,                0.44497,                0.82787,               0.003565,               0.003565,               0.003565
                     67,                0.58864,                0.49539,                0.86631,                0.89995,                0.87428,                0.93217,                0.82448,                0.52879,                0.43745,                0.82698,               0.003466,               0.003466,               0.003466
                     68,                0.58981,                0.49649,                0.86794,                0.89597,                0.86683,                0.92939,                0.82295,                0.52925,                0.43777,                0.82584,               0.003367,               0.003367,               0.003367
                     69,                0.58326,                0.49242,                0.86711,                0.88645,                   0.87,                0.93369,                0.83162,                0.52158,                0.43558,                0.82509,               0.003268,               0.003268,               0.003268
                     70,                0.58606,                0.49291,                0.86721,                0.89279,                0.89351,                0.93774,                0.83314,                0.51998,                0.43185,                0.82823,               0.003169,               0.003169,               0.003169
                     71,                0.57659,                0.48445,                0.86586,                 0.8943,                0.88423,                0.93754,                0.83279,                0.52087,                0.42745,                0.82704,                0.00307,                0.00307,                0.00307
                     72,                0.57751,                0.48554,                0.86814,                0.89706,                0.88817,                0.93632,                0.83445,                 0.5183,                0.43319,                0.82628,               0.002971,               0.002971,               0.002971
                     73,                0.57771,                0.48819,                0.86523,                0.89212,                0.88986,                0.93602,                0.83087,                0.52038,                0.42937,                0.82275,               0.002872,               0.002872,               0.002872
                     74,                 0.5703,                0.47865,                0.86312,                0.88349,                0.89148,                0.93179,                0.82763,                 0.5241,                0.43652,                0.82876,               0.002773,               0.002773,               0.002773
                     75,                0.56679,                0.47469,                0.86247,                0.89897,                0.88825,                0.93951,                0.83651,                0.51964,                0.42792,                0.82573,               0.002674,               0.002674,               0.002674
                     76,                0.56659,                0.47729,                0.86172,                0.90231,                0.88399,                0.93735,                 0.8359,                0.51483,                0.42832,                0.82258,               0.002575,               0.002575,               0.002575
                     77,                0.56716,                0.47418,                0.86258,                 0.8957,                0.88658,                0.94122,                0.83665,                0.51388,                0.42196,                0.82292,               0.002476,               0.002476,               0.002476
                     78,                0.56646,                0.47242,                0.86236,                0.90768,                   0.89,                0.93773,                0.83553,                0.51127,                0.42355,                0.82166,               0.002377,               0.002377,               0.002377
                     79,                0.56029,                 0.4678,                0.85986,                0.89994,                0.89119,                0.93651,                0.83518,                 0.5145,                0.42368,                0.82381,               0.002278,               0.002278,               0.002278
                     80,                 0.5577,                0.46903,                0.86093,                0.89322,                0.89461,                0.93682,                0.83756,                0.51062,                0.42179,                0.82068,               0.002179,               0.002179,               0.002179
                     81,                0.56134,                 0.4673,                0.86003,                0.89915,                0.88359,                0.93444,                0.83091,                0.51505,                0.42717,                0.82101,                0.00208,                0.00208,                0.00208
                     82,                0.55729,                0.46114,                0.85852,                0.90951,                0.87878,                 0.9388,                0.83344,                0.51276,                0.42293,                0.82092,               0.001981,               0.001981,               0.001981
                     83,                0.55106,                0.46008,                0.85966,                0.90828,                0.88582,                0.94125,                0.83796,                0.51321,                0.41851,                0.82093,               0.001882,               0.001882,               0.001882
                     84,                0.54961,                0.45745,                0.85631,                0.91733,                0.88468,                0.94142,                0.84232,                0.50894,                0.41252,                0.81992,               0.001783,               0.001783,               0.001783
                     85,                0.55015,                0.45482,                0.85574,                0.91195,                0.88198,                0.93747,                0.83464,                0.50564,                0.41872,                0.81883,               0.001684,               0.001684,               0.001684
                     86,                0.54693,                0.45195,                0.85405,                0.90424,                0.89293,                0.93936,                0.83772,                0.50477,                0.41686,                0.81881,               0.001585,               0.001585,               0.001585
                     87,                0.54703,                0.44928,                0.85821,                0.89505,                0.89125,                0.93774,                0.83729,                0.50534,                0.41804,                0.81774,               0.001486,               0.001486,               0.001486
                     88,                0.54207,                0.44833,                0.85578,                0.89746,                 0.8815,                0.94146,                0.84103,                0.50789,                0.41333,                0.81854,               0.001387,               0.001387,               0.001387
                     89,                0.54535,                0.45003,                0.85692,                0.89628,                0.90178,                0.94271,                0.84216,                0.50446,                0.40997,                0.81801,               0.001288,               0.001288,               0.001288
                     90,                0.55887,                0.43075,                0.82702,                0.89113,                0.89792,                0.93743,                 0.8327,                0.50875,                0.41559,                0.81772,               0.001189,               0.001189,               0.001189
                     91,                0.55343,                0.42278,                0.82275,                0.90119,                0.89099,                0.93474,                0.83201,                0.50423,                0.41754,                0.81697,                0.00109,                0.00109,                0.00109
                     92,                0.54584,                0.41343,                0.82426,                0.89405,                0.89957,                0.93734,                 0.8367,                0.50004,                0.41221,                0.81777,               0.000991,               0.000991,               0.000991
                     93,                0.54115,                0.41031,                0.82399,                0.89445,                0.89381,                0.93455,                0.83553,                0.49877,                0.41115,                 0.8184,               0.000892,               0.000892,               0.000892
                     94,                0.53925,                0.40525,                 0.8213,                0.88396,                0.90844,                0.93872,                0.84018,                0.49317,                0.40634,                0.81645,               0.000793,               0.000793,               0.000793
                     95,                0.53542,                0.40207,                0.82052,                0.89268,                0.90382,                0.93401,                0.83699,                  0.493,                0.40865,                0.81524,               0.000694,               0.000694,               0.000694
                     96,                0.53113,                0.39854,                0.82023,                0.90842,                0.89619,                0.93428,                0.83822,                0.49742,                0.40632,                0.81665,               0.000595,               0.000595,               0.000595
                     97,                0.53109,                0.39666,                 0.8208,                0.90586,                0.89165,                0.93722,                0.83913,                0.49247,                 0.4073,                0.81583,               0.000496,               0.000496,               0.000496
                     98,                0.53025,                0.39231,                0.81844,                0.90322,                0.89543,                0.93508,                0.83802,                0.49176,                0.40569,                0.81552,               0.000397,               0.000397,               0.000397
                     99,                0.52754,                0.39038,                0.81649,                0.89248,                0.89614,                0.93519,                0.84049,                0.48829,                 0.4044,                0.81499,               0.000298,               0.000298,               0.000298
